id,name,platforms,offset
EP2640-PPSA36937_00-PROJECTALICE0000,CRYMELIGHT,PS5,0
EP2640-PPSA36937_00-PJALICEDDX000000,CRYMELIGHT Deluxe Edition,PS5,0
UP8737-PPSA28416_00-SWGALACTICRACER1,STAR WARS: Galactic Racer™,PS5,0
UP8737-PPSA28416_00-SWGRDELUXEBUNDLE,STAR WARS: Galactic Racer™ Deluxe Edition,PS5,0
EP0700-PPSA28000_00-DAWNWALKER00GAME,The Blood of Dawnwalker,PS5,0
EP0700-PPSA28000_00-DAWNWALKER000DLX,The Blood of Dawnwalker - Eclipse Edition,PS5,0
JP0530-PPSA27752_00-NBD0000000000000,Brigandine Abyss,PS5,0
UP0101-PPSA18194_00-MGSCOLLECTION002,METAL GEAR SOLID: MASTER COLLECTION Vol.2,PS5,0
JP9000-PPSA15595_00-MTFS000000000000,MARVEL Tōkon: Fighting Souls,PS5,0
JP9000-PPSA15595_00-MTFSDDE000000000,MARVEL Tōkon: Fighting Souls Digital Deluxe Edition,PS5,0
JP9000-PPSA15595_00-MTFSUE0000000000,MARVEL Tōkon: Fighting Souls Ultimate Edition,PS5,0
UB1599-PPSA29344_00-AIBOUSIEE0000000,Beast of Reincarnation,PS5,0
UB1599-PPSA29344_00-DELBUNDLESIEE000,Beast of Reincarnation Digital Deluxe Edition,PS5,0
UP0101-PPSA34491_00-PROBBSPIRITS26AE,eBaseball™: PRO SPIRIT 2026,PS5,0
JP0700-PPSA22969_00-SWORDARTONLINEV0,Echoes of Aincrad,PS5,0
JP0700-PPSA22969_00-SAOVEDLXEDITION0,Echoes of Aincrad Deluxe Edition,PS5,0
JP0700-PPSA22969_00-SAOVEULTEDITION0,Echoes of Aincrad Ultimate Edition,PS5,0
EP0001-PPSA28183_00-GAME000000000000,Assassin's Creed Black Flag Resynced,PS5,0
EP0001-PPSA28183_00-DELUXE0000000000,Assassin's Creed Black Flag Resynced Deluxe Edition,PS5,0
JP0106-PPSA34363_00-APPDOA6LR0000001,DEAD OR ALIVE 6 Last Round,PS5,0
EP0006-PPSA23566_00-STANDARDEDITION0,UFC® 6,PS5,0
EP0082-PPSA32309_00-MILLENNIUMTALEEP,The Adventures of Elliot: The Millennium Tales,PS5,0
EP0082-PPSA32309_00-ELLIOTDDX00000EP,The Adventures of Elliot: The Millennium Tales Digital Deluxe Edition,PS5,0
EP0006-PPSA23566_00-ULTIMATEEDITION0,UFC® 6 Ultimate Edition,PS5,0
EP0001-PPSA29182_00-ARTEMISPS5000001,Monopoly: Star Wars™ Heroes vs. Villains,PS5,24
EP4389-PPSA09827_00-GOTHIC1REMAKE000,Gothic 1 Remake,"PS4, PS5",24
UP8315-PPSA29912_00-0595309704131428,Hollowbody,PS5,24
EP6665-PPSA35448_00-TDF2600000000000,Tour de France 2026,PS5,24
EP6665-PPSA35448_00-TDF26DELUXE00001,Tour de France 2026 - Deluxe Edition,PS5,24
EP4293-PPSA35056_00-NECROPHOSIS00PS5,Necrophosis: Full Consciousness,PS5,24
EP2006-PPSA34342_00-NICKXTREMETENNIS,Nickelodeon Extreme Tennis: Next!,PS5,24
JP5784-PPSA34054_00-WANDERINGSWORD00,Wandering Sword,PS5,24
EP4133-PPSA28981_00-YERBABUENAGAME00,Yerba Buena,PS5,24
EP3969-PPSA11386_00-007FIRSTLIGHT000,007 First Light,PS5,24
JP5784-PPSA34054_00-WSDELUXEEDITION0,Wandering Sword Deluxe Edition,PS5,24
UP0182-PPSA32667_00-BUBSYTBOBCATIS4D,Bubsy 4D,PS5,24
UP1018-PPSA16833_00-LEGOBATMAN000000,LEGO® Batman™: Legacy of the Dark Knight,PS5,24
JP0211-PPSA26148_00-0217192219511128,Coffee Talk Tokyo,PS5,24
JP0211-PPSA26148_00-0103363365947797,Coffee Talk Tokyo - Deluxe Edition,PS5,24
EP4295-PPSA27029_00-KINGOFTOKYOPS5WW,King of Tokyo,PS5,24
UP1018-PPSA16833_00-LEGOBATMANDLXEDT,LEGO® Batman™: Legacy of the Dark Knight Deluxe Edition,PS5,24
EP8253-PPSA16384_00-SMGDARKPICTURESE,Directive 8020,PS5,24
EP7776-PPSA35444_00-NITROGENOMEGA000,NITRO GEN OMEGA,PS5,24
EB2251-PPSA35334_00-0602377351351497,Kamikaze Strike: FPV Drone,PS5,24
UB0008-PPSA37480_00-0510705817130054,Tiny Crown,PS5,24
UB2099-PPSA36032_00-GIZOOSIMPS500001,Zoo Simulator,PS5,24
EB2071-PPSA34372_00-0748332557039838,Hydroneer,PS5,24
UB0008-PPSA37720_00-0923178533819395,Minigolf Rush,PS5,24
UB0837-PPSA35282_00-0361886309696590,Super Adventure Hand,PS5,48
EP4476-PPSA34885_00-0598107484425586,City Bus Simulator 2026,PS5,48
UB1511-PPSA37054_00-0366737861019763,Lost Little Things,PS5,48
UB1022-PPSA36198_00-MOTEMANUSCRIPTEU,MOTE: The Manuscript,PS5,48
UB1022-PPSA36198_00-MOTEMANUSBUNDLEU,MOTE: The Manuscript (PS4 & PS5),"PS4, PS5",48
JP0013-PPSA35615_00-JP0AKUPARA000PS5,Akuma Rise,"PS4, PS5",48
JP0013-PPSA35615_00-JP0AKUPARA0SEPS5,Akuma Rise Special Edition,"PS4, PS5",48
